Frente	Verso
に (tempo específico)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula</span> <b>ÀS</b> <span style="color:#888;">(horas)</span> <b>ou EM</b> <span style="color:#888;">(data)</span> — horário, dia específico<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Regra:</b><br><span style="font-size:14px;">✅ COM datas/horários: <span style="color:#b35900;font-weight:bold;">８時</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">起きる</span> (acordar às 8)<br>❌ SEM に: 今日, 明日, 毎日, いつも, よく, 時々</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">６時</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">帰る</span></b><br><span style="font-size:12px;color:#333;">Volto às 6 horas</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">日曜日</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">会いましょう</span></b><br><span style="font-size:12px;color:#333;">Vamos nos encontrar no domingo</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#b35900;font-weight:bold;">毎日</span><span style="color:#6a0080;font-weight:bold;">に</span></b><br><span style="font-size:12px;color:#333;">❌ Palavras de frequência NÃO usam に!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> に para TEMPO: USE com horários e datas específicas. NÃO USE com palavras de frequência e dias relativos.</div></div>
ね (partícula final)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula final</span> <b>NÉ?</b> — pede concordância, suaviza<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 ね vs よ:</b><br><span style="font-size:14px;"><span style="color:#b35900;font-weight:bold;">暑い</span><b>ね</b> → "Quente, né?" (busca confirmação)<br><span style="color:#b35900;font-weight:bold;">暑い</span><b>よ</b> → "Tá quente, viu!" (informa/avisa)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">いい天気</span><span style="color:#990000;font-weight:bold;">です</span><span style="color:#6a0080;font-weight:bold;">ね</span></b><br><span style="font-size:12px;color:#333;">Tempo bom, né?</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">難しい</span><span style="color:#990000;font-weight:bold;">です</span><span style="color:#6a0080;font-weight:bold;">ね</span></b><br><span style="font-size:12px;color:#333;">Difícil, né?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> ね busca EMPATIA e CONCORDÂNCIA (o outro já sabe). É como o 'né?' brasileiro — muito usado no dia a dia.</div></div>
よ (partícula final)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula final</span> <b>VIU!</b> <span style="color:#888;">ou</span> <b>SABE?</b> — ênfase, informação nova<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Função:</b><br><span style="font-size:14px;">よ = comunica INFORMAÇÃO NOVA que o outro NÃO sabe<br>Use para: avisos, novidades, recomendações</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">この映画は面白い</span><span style="color:#990000;font-weight:bold;">です</span><span style="color:#6a0080;font-weight:bold;">よ</span></b><br><span style="font-size:12px;color:#333;">Este filme é interessante, viu!</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">危ない</span><span style="color:#990000;font-weight:bold;">です</span><span style="color:#6a0080;font-weight:bold;">よ</span></b><br><span style="font-size:12px;color:#333;">É perigoso! (aviso)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> よ informa, ね confirma. Use よ para coisas que o outro NÃO sabe. Use ね para coisas que o outro JÁ sabe.</div></div>
と (lista fechada) ・ や (lista aberta)	<div style="color:#222;font-size:15px;"><span style="background:#6a0080;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Partícula de lista</span> <b>E</b> <span style="color:#888;">ou</span> <b>COISAS DO TIPO</b> — conectar substantivos<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Diferença:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:12px;color:#111;"><tr style="background:#6a0080;color:white;"><th style="padding:4px;">と (fechada)</th><th style="padding:4px;">や (aberta)</th></tr><tr><td style="padding:4px;border:1px solid #999;">Lista COMPLETA</td><td style="padding:4px;border:1px solid #999;">Lista de EXEMPLOS</td></tr><tr><td style="padding:4px;border:1px solid #999;">SÓ essas coisas</td><td style="padding:4px;border:1px solid #999;">Essas E OUTRAS</td></tr><tr><td style="padding:4px;border:1px solid #999;">パンと卵 (pão e ovo)</td><td style="padding:4px;border:1px solid #999;">パンや卵 (pão, ovo, etc)</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">と</span><span style="color:#005a1e;font-weight:bold;">ノート</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">買った</span></b><br><span style="font-size:12px;color:#333;">Comprei livro e caderno (só esses)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">や</span><span style="color:#005a1e;font-weight:bold;">ノート</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">買った</span></b><br><span style="font-size:12px;color:#333;">Comprei livro, caderno e outras coisas</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> と → lista exata e fechada. や → lista exemplificativa. Para listar AÇÕES (verbos), use forma TE (て), NÃO と.</div></div>
これ	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - coisa</span> <b>ISTO</b> — perto de quem FALA<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (coisas):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">これ</td><td style="padding:6px;border:1px solid #999;color:#111;">それ</td><td style="padding:6px;border:1px solid #999;color:#111;">あれ</td><td style="padding:6px;border:1px solid #999;color:#111;">どれ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">これ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">ISTO é um livro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> <b>こ</b>ち → perto | <b>そ</b>ち → médio | <b>あ</b>ち → longe | <b>ど</b>ち → pergunta</div></div>
それ	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - coisa</span> <b>ISSO</b> — perto de quem OUVE<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (coisas):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">これ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">それ</td><td style="padding:6px;border:1px solid #999;color:#111;">あれ</td><td style="padding:6px;border:1px solid #999;color:#111;">どれ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">それ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">ISSO é um livro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> <b>こ</b>ち → perto | <b>そ</b>ち → médio | <b>あ</b>ち → longe | <b>ど</b>ち → pergunta</div></div>
あれ	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - coisa</span> <b>AQUILO</b> — longe DE AMBOS<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (coisas):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">これ</td><td style="padding:6px;border:1px solid #999;color:#111;">それ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">あれ</td><td style="padding:6px;border:1px solid #999;color:#111;">どれ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">あれ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">AQUILO é um livro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> <b>こ</b>ち → perto | <b>そ</b>ち → médio | <b>あ</b>ち → longe | <b>ど</b>ち → pergunta</div></div>
どれ	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome interrog.</span> <b>QUAL?</b> — pergunta<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (coisas):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">これ</td><td style="padding:6px;border:1px solid #999;color:#111;">それ</td><td style="padding:6px;border:1px solid #999;color:#111;">あれ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">どれ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">どれ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">QUAL? é um livro</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> <b>こ</b>ち → perto | <b>そ</b>ち → médio | <b>あ</b>ち → longe | <b>ど</b>ち → pergunta</div></div>
この + subst.	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Demonstrativo</span> <b>ESTE + subst.</b> — perto de FALA<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (+subst):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">この</td><td style="padding:6px;border:1px solid #999;color:#111;">その</td><td style="padding:6px;border:1px solid #999;color:#111;">あの</td><td style="padding:6px;border:1px solid #999;color:#111;">どの</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">この</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">面白い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">ESTE  livro é interessante</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">これ</span><span style="color:#b35900;font-weight:bold;">本</span></b><br><span style="font-size:12px;color:#333;">❌ これ é pronome — NÃO use antes de substantivo!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> こ-SÉRIE: これ (isto, sozinho) ≠ この (este, +substantivo). MESMA LÓGICA para そ, あ, ど.</div></div>
その + subst.	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Demonstrativo</span> <b>ESSE + subst.</b> — perto de OUVE<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (+subst):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">この</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">その</td><td style="padding:6px;border:1px solid #999;color:#111;">あの</td><td style="padding:6px;border:1px solid #999;color:#111;">どの</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">その</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">面白い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">ESSE  livro é interessante</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">それ</span><span style="color:#b35900;font-weight:bold;">本</span></b><br><span style="font-size:12px;color:#333;">❌ それ é pronome — NÃO use antes de substantivo!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> こ-SÉRIE: これ (isto, sozinho) ≠ この (este, +substantivo). MESMA LÓGICA para そ, あ, ど.</div></div>
あの + subst.	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Demonstrativo</span> <b>AQUELE + subst.</b> — longe<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (+subst):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">この</td><td style="padding:6px;border:1px solid #999;color:#111;">その</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">あの</td><td style="padding:6px;border:1px solid #999;color:#111;">どの</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">あの</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">面白い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">AQUELE  livro é interessante</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">あれ</span><span style="color:#b35900;font-weight:bold;">本</span></b><br><span style="font-size:12px;color:#333;">❌ あれ é pronome — NÃO use antes de substantivo!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> こ-SÉRIE: これ (isto, sozinho) ≠ この (este, +substantivo). MESMA LÓGICA para そ, あ, ど.</div></div>
どの + subst.	<div style="color:#222;font-size:15px;"><span style="background:#005a1e;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Demonstrativo int.</span> <b>QUAL + subst.?</b> — pergunta<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (+subst):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#005a1e;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">この</td><td style="padding:6px;border:1px solid #999;color:#111;">その</td><td style="padding:6px;border:1px solid #999;color:#111;">あの</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">どの</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">どの</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">面白い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">QUAL ? livro é interessante</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#005a1e;font-weight:bold;">どれ</span><span style="color:#b35900;font-weight:bold;">本</span></b><br><span style="font-size:12px;color:#333;">❌ どれ é pronome — NÃO use antes de substantivo!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> こ-SÉRIE: これ (isto, sozinho) ≠ この (este, +substantivo). MESMA LÓGICA para そ, あ, ど.</div></div>
ここ	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - lugar</span> <b>AQUI</b> — perto de FALA<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (lugares):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#b35900;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">ここ</td><td style="padding:6px;border:1px solid #999;color:#111;">そこ</td><td style="padding:6px;border:1px solid #999;color:#111;">あそこ</td><td style="padding:6px;border:1px solid #999;color:#111;">どこ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">ここ</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">座ってください</span></b><br><span style="font-size:12px;color:#333;">Sente-se aqui, por favor</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> MESMO padrão KO-SO-A-DO! Memorize como matriz 4 colunas: こ=perto, そ=médio, あ=longe, ど=pergunta.</div></div>
そこ	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - lugar</span> <b>AÍ</b> — perto de OUVE<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (lugares):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#b35900;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">ここ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">そこ</td><td style="padding:6px;border:1px solid #999;color:#111;">あそこ</td><td style="padding:6px;border:1px solid #999;color:#111;">どこ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">そこ</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">座ってください</span></b><br><span style="font-size:12px;color:#333;">Sente-se aí, por favor</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> MESMO padrão KO-SO-A-DO! Memorize como matriz 4 colunas: こ=perto, そ=médio, あ=longe, ど=pergunta.</div></div>
あそこ	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome - lugar</span> <b>LÁ</b> — longe<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (lugares):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#b35900;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">ここ</td><td style="padding:6px;border:1px solid #999;color:#111;">そこ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">あそこ</td><td style="padding:6px;border:1px solid #999;color:#111;">どこ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">あそこ</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">座ってください</span></b><br><span style="font-size:12px;color:#333;">Sente-se lá, por favor</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> MESMO padrão KO-SO-A-DO! Memorize como matriz 4 colunas: こ=perto, そ=médio, あ=longe, ど=pergunta.</div></div>
どこ	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Pronome interrog.</span> <b>ONDE?</b> — pergunta<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Sistema KO-SO-A-DO (lugares):</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:13px;text-align:center;color:#111;"> <tr style="background:#b35900;color:white;"><th style="padding:4px;">KO (mim)</th><th style="padding:4px;">SO (você)</th><th style="padding:4px;">A (longe)</th><th style="padding:4px;">DO (?)</th></tr> <tr><td style="padding:6px;border:1px solid #999;color:#111;">ここ</td><td style="padding:6px;border:1px solid #999;color:#111;">そこ</td><td style="padding:6px;border:1px solid #999;color:#111;">あそこ</td><td style="padding:6px;border:1px solid #999;background:#d4edda;font-weight:bold;color:#111;">どこ</td></tr> </table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">どこ</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">座ってください</span></b><br><span style="font-size:12px;color:#333;">Sente-se onde?, por favor</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> MESMO padrão KO-SO-A-DO! Memorize como matriz 4 colunas: こ=perto, そ=médio, あ=longe, ど=pergunta.</div></div>
